URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME TIRE – DATE DIFFERENTE				
<http://data.doremus.org/performance/974feada-d4f8-3821-a195-dc6a5822ee5a>	13318.ttl	Orchestre du Théâtre Mariinsky - Valery Gergiev - Gautier Capuçon 	2018-03-22T17:09	Similarité :1.0
<http://data.doremus.org/performance/0a16ca60-b132-35cd-9e80-8794805de5d4>	1011731.ttl	Orchestre du Théâtre Mariinsky, Valery Gergiev, Gautier Capuçon	2018-03-29T21:47	
				
<http://data.doremus.org/performance/23f6c9a4-978c-303e-9409-b66997dfbba0>	14376.ttl	West-Eastern Divan Orchestra - Daniel Barenboim	2015-01-19T20:30	Similarité :1.0
<http://data.doremus.org/performance/d0b6e112-6a28-3513-ae85-0c8f86a0d9ed>	0967748.ttl	West-Eastern Divan Orchestra, Daniel Barenboim	2018-03-29T21:50	
				
<http://data.doremus.org/performance/68451190-922b-3e0a-9e6e-6e4abcc6f267>	14095.ttl	Les Dissonances - David Grimal	2015-04-01T20:30	Similarité :1.0
<http://data.doremus.org/performance/7966c253-0cd2-39a7-bd27-21a34e5a75fa>	1062228.ttl	Les Dissonances, David Grimal	2017-01-30T20:30	
				
<http://data.doremus.org/performance/68451190-922b-3e0a-9e6e-6e4abcc6f267>	14095.ttl	Les Dissonances - David Grimal	2015-04-01T20:30	Similarité :1.0
<http://data.doremus.org/performance/4280cb11-94bb-3fd2-827c-4adcff8d8fd7>	1023315.ttl	Les Dissonances, David Grimal	2014-10-21T20:00	
				
<http://data.doremus.org/performance/68451190-922b-3e0a-9e6e-6e4abcc6f267>	14095.ttl	Les Dissonances - David Grimal	2015-04-01T20:30	Similarité :1.0
<http://data.doremus.org/performance/1386ad04-a768-3b93-af13-980357c76121>	1040876.ttl	Les Dissonances : David Grimal	2015-10-06T20:30	
				
<http://data.doremus.org/performance/68451190-922b-3e0a-9e6e-6e4abcc6f267>	14095.ttl	Les Dissonances - David Grimal	2015-04-01T20:30	Similarité :1.0
<http://data.doremus.org/performance/8ae7da6a-8728-39ac-bf83-13e2157c200c>	1030927.ttl	Les Dissonances, David Grimal	2015-02-09T20:30	
				
<http://data.doremus.org/performance/f021498a-3c05-3c83-9932-35dae7f027d1>	14183.ttl	Orchestre Philharmonique de Radio France	2014-10-10T20:00	Similarité :1.0
<http://data.doremus.org/performance/15198688-34bd-373e-b4e0-7a359bba4e9b>	0956005.ttl	Orchestre Philharmonique de Radio France	2011-01-07T20:00	
				
<http://data.doremus.org/performance/09543a98-36c3-37c7-b213-112c1681d6d9>	14226.ttl	Budapest Festival Orchestra	2015-05-26T20:30	Similarité :1.0
<http://data.doremus.org/performance/3c0ca17a-467e-3286-bb2b-9ea3acfeb569>	0960343.ttl	Budapest Festival Orchestra	2011-03-05T20:00	
				
<http://data.doremus.org/performance/c0bff8f8-96f5-3575-b74c-9cb5de507f93>	14736.ttl	Orchestre de Paris - Paavo Järvi	2015-01-18T11:00	Similarité :1.0
<http://data.doremus.org/performance/6b210a19-1224-3f20-9d28-3c6d7a1fa825>	0987827.ttl	Orchestre de Paris, Paavo Järvi	2018-03-29T21:46	
				
<http://data.doremus.org/performance/14ad30a3-3727-38d5-8714-2cc8462cc221>	14092.ttl	Ensemble intercontemporain - Matthias Pintscher	2015-04-21T20:30	Similarité :1.0
<http://data.doremus.org/performance/1d0a435f-0640-3f88-88e2-76c63dd79fa4>	1023309.ttl	Ensemble intercontemporain, Matthias Pintscher	2014-10-17T20:00	
				
<http://data.doremus.org/performance/0095ee90-6f8f-399f-ac1b-cbdd7124be2e>	13306.ttl	Les Arts Florissants - William Christie 	2013-11-19T20:00	Similarité :1.0
<http://data.doremus.org/performance/b9c8c77f-4b81-3057-8772-8572846e8f2a>	1029285.ttl	Les Arts Florissants, William Christie	2015-01-16T20:30	
				
<http://data.doremus.org/performance/9706a237-6448-3d57-92c5-481d5b79c193>	13354.ttl	Orchestre de Paris - Paavo Järvi - Menahem Pressler	2014-01-30T20:00	Similarité :1.0
<http://data.doremus.org/performance/0c61d4c4-d082-3cae-9364-04651e0c4222>	0993240.ttl	Orchestre de Paris, Paavo Järvi, Menahem Pressler	2012-10-17T20:00	
				
<http://data.doremus.org/performance/36474f6a-7d26-31b4-9b38-0a7081513303>	14249.ttl	Orchestre de Paris / Yuri Temirkanov / Leonidas Kavakos	2018-03-22T17:09	Similarité :1.0
<http://data.doremus.org/performance/893b6390-da07-3c1d-a9fe-15ce08dc7417>	1031623.ttl	Orchestre de Paris, Yuri Temirkanov, Leonidas Kavakos	2015-02-25T20:30	
				
<http://data.doremus.org/performance/3bdac988-4df4-3c39-ba98-1941fc56bf88>	14250.ttl	Chamber Orchestra of Europe	2015-02-16T20:30	Similarité :1.0
<http://data.doremus.org/performance/eae12303-fb63-3a1a-bf55-6d9cc8aed1de>	0240336.ttl	Chamber orchestra of Europe	2018-03-29T21:50	
				
<http://data.doremus.org/performance/3bdac988-4df4-3c39-ba98-1941fc56bf88>	14250.ttl	Chamber Orchestra of Europe	2015-02-16T20:30	Similarité :1.0
<http://data.doremus.org/performance/d9ea7639-de11-3fbd-a5e0-0487595c5cff>	0241240.ttl	Chamber orchestra of Europe	2018-03-29T21:47	
				
<http://data.doremus.org/performance/3bdac988-4df4-3c39-ba98-1941fc56bf88>	14250.ttl	Chamber Orchestra of Europe	2015-02-16T20:30	Similarité :1.0
<http://data.doremus.org/performance/79332ad1-10e5-3d83-9da3-f34a0e5bc935>	0241078.ttl	Chamber orchestra of Europe	2018-03-29T21:46	
				
<http://data.doremus.org/performance/876b1911-3ede-322d-b0c8-1eaea3103ab8>	13186.ttl	Chamber Orchestra of Europe	2014-05-24T20:00	Similarité :1.0
